hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-331,3,Kepler-331 d,Transit,0,0.653,32.134328,0.0,,0.014,0.000216,,,-0.014,-0.000216,,
TOI-5789,4,TOI-5789 e,Radial Velocity,0,0.821,62.98,0.071,11.61,0.032,0.22,,0.97,-0.027,-0.22,,-0.97
Kepler-256,4,Kepler-256 d,Transit,0,1.037,5.839172,0.0,,0.024,3.1e-05,,,-0.028,-3.1e-05,,
Kepler-334,3,Kepler-334 d,Transit,0,1.022,25.09849,0.0,,0.0235,0.000142,,,-0.0235,-0.000142,,
Kepler-336,3,Kepler-336 b,Transit,0,1.09,2.024823,0.0,,0.059,1.7e-05,,,-0.042,-1.7e-05,,
Kepler-149,3,Kepler-149 c,Transit,0,1.013,55.328328,0.0,,0.031,0.001946,,,-0.033,-0.001946,,
Kepler-292,5,Kepler-292 c,Transit,0,0.865,3.715335,0.0,,0.021,3.3e-05,,,-0.029,-3.3e-05,,
Kepler-338,4,Kepler-338 c,Transit,0,1.105,24.310856,0.03,,0.026,0.000158,0.24,,-0.021,-0.000158,-0.03,
Kepler-164,4,Kepler-164 b,Transit,0,1.036,5.03503,0.0,,0.031,2.7e-05,,,-0.034,-2.7e-05,,
Kepler-169,5,Kepler-169 f,Transit,0,0.825,87.090195,0.0,,0.007,0.000406,,,-0.013,-0.000406,,
Kepler-265,4,Kepler-265 b,Transit,0,0.97,6.846262,0.0,,0.029,6.3e-05,,,-0.034,-6.3e-05,,
Kepler-298,3,Kepler-298 d,Transit,0,0.66,77.473633,0.0,,0.015,0.000615,,,-0.015,-0.000615,,
Kepler-339,3,Kepler-339 c,Transit,0,0.87,6.988055,0.0,,0.01,5.3e-05,,,-0.012,-5.3e-05,,
Kepler-339,3,Kepler-339 d,Transit,0,0.87,10.558345,0.0,,0.01,8.1e-05,,,-0.012,-8.1e-05,,
Kepler-171,3,Kepler-171 d,Transit,0,0.978,39.595519,0.0,,0.029,0.000699,,,-0.031,-0.000699,,
Kepler-174,3,Kepler-174 d,Transit,0,0.602,247.35373,0.0,,0.019,0.002001,,,-0.019,-0.002001,,
Kepler-272,3,Kepler-272 d,Transit,0,0.91,10.937304,0.0,,0.014,7.3e-05,,,-0.011,-7.3e-05,,
Kepler-206,3,Kepler-206 d,Transit,0,0.957,23.44281,0.0,,0.033,0.000453,,,-0.03,-0.000453,,
Kepler-122,5,Kepler-122 c,Transit,0,0.982,12.465988,0.0,,0.028,9e-06,,,-0.029,-9e-06,,
Kepler-251,4,Kepler-251 c,Transit,0,0.891,16.514043,0.0,,0.019,5.4e-05,,,-0.027,-5.4e-05,,
Kepler-158,3,Kepler-158 c,Transit,0,0.655,28.551383,0.0,,0.015,0.00014,,,-0.015,-0.00014,,
Kepler-347,3,Kepler-347 c,Transit,0,0.922,27.320871,0.0,,0.022,0.000457,,,-0.021,-0.000457,,
Kepler-253,3,Kepler-253 c,Transit,0,0.86,10.281951,0.0,,0.023,3.2e-05,,,-0.028,-3.2e-05,,
Kepler-192,3,Kepler-192 b,Transit,0,1.028,9.926746,0.0,,0.034,1.8e-05,,,-0.032,-1.8e-05,,
Kepler-196,3,Kepler-196 c,Transit,0,0.839,47.427737,0.0,,0.017,0.000223,,,-0.023,-0.000223,,
Kepler-245,4,Kepler-245 d,Transit,0,0.856,36.277108,0.0,,0.02,0.000173,,,-0.026,-0.000173,,
Kepler-154,5,Kepler-154 b,Transit,0,0.933,33.040532,0.0,,0.032,0.000215,,,-0.03,-0.000215,,
Kepler-359,3,Kepler-359 d,Transit,0,0.827,77.095691,0.0,,0.03,0.001453,,,-0.029,-0.001453,,
Kepler-256,4,Kepler-256 c,Transit,0,1.037,3.38802,0.0,,0.024,1.6e-05,,,-0.028,-1.6e-05,,
Kepler-254,3,Kepler-254 b,Transit,0,0.849,5.826662,0.0,,0.034,1e-05,,,-0.027,-1e-05,,
Kepler-184,3,Kepler-184 c,Transit,0,0.872,20.303005,0.0,,0.024,8.7e-05,,,-0.028,-8.7e-05,,
KIC 10001893,3,KIC 10001893 b,Orbital Brightness Modulation,1,0.47,0.2197,,,0.03,,,,-0.03,,,
KIC 10001893,3,KIC 10001893 c,Orbital Brightness Modulation,1,0.47,0.32528,,,0.03,,,,-0.03,,,
Kepler-172,4,Kepler-172 b,Transit,0,1.081,2.940309,0.0,,0.027,7e-06,,,-0.034,-7e-06,,
Kepler-257,3,Kepler-257 c,Transit,0,0.916,6.581484,0.0,,0.017,8e-06,,,-0.017,-8e-06,,
Kepler-217,3,Kepler-217 b,Transit,0,1.342,5.374943,0.0,,0.023,1.9e-05,,,-0.024,-1.9e-05,,
Kepler-174,3,Kepler-174 c,Transit,0,0.602,44.000529,0.0,,0.019,0.000265,,,-0.019,-0.000265,,
Kepler-251,4,Kepler-251 d,Transit,0,0.891,30.133001,0.0,,0.019,0.000161,,,-0.027,-0.000161,,
TOI-561,4,TOI-561 e,Transit,1,0.806,77.144,0.074,,0.036,0.00027,0.044,,-0.036,-0.00027,-0.039,
TOI-1749,3,TOI-1749 b,Transit,0,0.58,2.38839,0.14,,0.03,0.00031,,,-0.03,-0.00066,,
KIC 10001893,3,KIC 10001893 d,Orbital Brightness Modulation,1,0.47,0.81161,,,0.03,,,,-0.03,,,
Kepler-218,3,Kepler-218 c,Transit,0,1.019,44.699576,0.0,,0.021,0.000167,,,-0.021,-0.000167,,
Kepler-253,3,Kepler-253 d,Transit,0,0.86,18.119869,0.0,,0.023,6.6e-05,,,-0.028,-6.6e-05,,
Kepler-192,3,Kepler-192 c,Transit,0,1.028,21.2234,0.0,,0.034,7.6e-05,,,-0.032,-7.6e-05,,
Kepler-220,4,Kepler-220 c,Transit,0,0.729,9.034199,0.0,,0.0185,9e-06,,,-0.0185,-9e-06,,
Kepler-487,3,Kepler-487 d,Transit,0,0.874,2.418390036,0.0,,0.055,,,,-0.046,,,
K2-266,4,K2-266 c,Transit,0,0.686,7.814,0.042,,0.033,0.0019,0.043,,-0.033,-0.0016,-0.03,
HD 110067,6,HD 110067 g,Transit,0,0.798,54.76992,,,0.042,0.0002,,,-0.042,-0.0002,,
Kepler-196,3,Kepler-196 b,Transit,0,0.839,20.739886,0.0,,0.017,6.6e-05,,,-0.023,-6.6e-05,,
Kepler-221,4,Kepler-221 c,Transit,0,0.854,5.690586,0.0,,0.012,4e-06,,,-0.016,-4e-06,,
TOI-1246,4,TOI-1246 c,Transit,0,0.8889,5.904137,0.0,,0.0303,1.4e-05,,,-0.0302,-1.4e-05,,
Kepler-207,3,Kepler-207 d,Transit,0,1.313,5.868075,0.0,,0.025,9e-06,,,-0.028,-9e-06,,
Kepler-245,4,Kepler-245 b,Transit,0,0.856,7.49019,0.0,,0.02,1.9e-05,,,-0.026,-1.9e-05,,
Kepler-208,4,Kepler-208 b,Transit,0,1.082,4.22864,0.0,,0.03,1.8e-05,,,-0.03,-1.8e-05,,
Kepler-226,3,Kepler-226 c,Transit,0,0.904,5.349555,0.0,,0.029,1.4e-05,,,-0.03,-1.4e-05,,
Kepler-48,5,Kepler-48 d,Transit,0,0.88,42.8961,0.0,8.890850393,0.06,,,5.651885235,-0.06,,,-5.651885235
Kepler-247,3,Kepler-247 c,Transit,0,0.887,9.439452,0.0,,0.016,7e-06,,,-0.022,-7e-06,,
Kepler-106,4,Kepler-106 b,Transit,0,1.0,6.16486,0.0,,0.06,,,,-0.06,,,
Kepler-100,4,Kepler-100 d,Transit,0,1.08,35.3331,0.38,1.773084002,0.06,,0.12,1.890590968,-0.06,,-0.16,-1.890590968
Kepler-228,3,Kepler-228 d,Transit,0,1.006,11.094286,0.0,,0.035,3.6e-05,,,-0.033,-3.6e-05,,
HD 27894,3,HD 27894 d,Radial Velocity,0,0.81,5019.54244,0.343,1721.04945,0.096,32.59359,0.031,75.96137,-0.096,-31.12557,-0.026,-385.84562
Kepler-166,3,Kepler-166 b,Transit,0,0.811,7.650254,0.0,,0.025,1.2e-05,,,-0.03,-1.2e-05,,
Kepler-106,4,Kepler-106 d,Transit,0,1.0,23.9802,0.0,,0.06,,,,-0.06,,,
Kepler-169,5,Kepler-169 e,Transit,0,0.825,13.767102,0.0,,0.007,3.4e-05,,,-0.013,-3.4e-05,,
Kepler-249,3,Kepler-249 c,Transit,0,0.510238,7.113702,0.0,,0.020399,1.8e-05,,,-0.020399,-1.8e-05,,
Kepler-174,3,Kepler-174 b,Transit,0,0.602,13.98179,0.0,,0.019,2.4e-05,,,-0.019,-2.4e-05,,
Kepler-197,4,Kepler-197 c,Transit,0,0.857,10.349695,0.08,,0.023,4.5e-05,0.21,,-0.019,-4.5e-05,-0.08,
Kepler-332,3,Kepler-332 d,Transit,0,0.743,34.21154,0.0,,0.014,0.000326,,,-0.025,-0.000326,,
Kepler-10,3,Kepler-10 b,Transit,0,0.91,0.8374907,0.0,3.657838386,0.021,2e-07,,0.4310886639,-0.021,-2e-07,,-0.4310886639
GJ 367,3,GJ 367 d,Radial Velocity,0,0.455,34.369,0.14,6.03,0.011,0.073,0.09,0.49,-0.011,-0.073,-0.09,-0.49
HD 215152,4,HD 215152 c,Radial Velocity,0,0.77,7.28243,0.0,1.72,0.015,0.00451,,0.618,-0.015,-0.00827,,-0.725
TOI-1266,3,TOI-1266 d,Transit Timing Variations,0,0.437,32.509,0.087,4.59,0.021,0.062,,0.96,-0.021,-0.049,,-0.94
KOI-7892,3,KIC 8540376 b,Transit,0,1.04,31.8099,,,0.2,0.00919,,,-0.2,-0.00933,,
KOI-7892,3,KIC 8540376 c,Transit,0,1.04,75.2,,,0.2,38.9,,,-0.2,-1.1,,
Kepler-186,5,Kepler-186 f,Transit,1,0.544,129.9441,0.04,,0.024,0.0013,0.07,,-0.021,-0.0012,-0.04,
K2-155,3,K2-155 c,Transit,0,0.65,13.85,,,0.06,0.006,,,-0.03,-0.006,,
K2-19,3,K2-19 d,Transit,0,0.892,2.50827,0.44,,0.034,0.00027,,,-0.034,-0.00014,,
GJ 357,3,GJ 357 c,Radial Velocity,0,0.342,9.1247,,3.4,0.011,0.0011,,0.46,-0.011,-0.001,,-0.46
WASP-132,3,WASP-132 d,Radial Velocity,0,0.789,1816.6,0.12,1639.99458012,0.039,44.4,0.078,165.27077164,-0.039,-44.4,-0.078,-165.27077164
K2-285,4,K2-285 c,Transit,0,0.83,7.138048,0.0,,0.023,7.2e-05,,,-0.023,-6.3e-05,,
Kepler-296,5,Kepler-296 c,Transit,0,0.498,5.8416366,0.33,,0.067,1e-05,,,-0.087,-1e-05,,
Kepler-79,4,Kepler-79 e,Transit,0,1.165,81.0659,0.012,,0.044,0.0013,0.044,,-0.045,-0.0011,-0.005,
Kepler-79,4,Kepler-79 c,Transit,0,1.165,27.4029,0.03,,0.044,0.0008,0.027,,-0.045,-0.0006,-0.021,
Kepler-296,5,Kepler-296 d,Transit,0,0.498,19.850291,0.33,,0.067,6.1e-05,,,-0.087,-5.7e-05,,
Kepler-79,4,Kepler-79 b,Transit,0,1.165,13.4845,0.015,,0.044,0.0002,0.012,,-0.045,-0.0002,-0.006,
Kepler-296,5,Kepler-296 e,Transit,0,0.498,34.14211,0.33,,0.067,0.00025,,,-0.087,-0.00025,,
Kepler-296,5,Kepler-296 f,Transit,0,0.498,63.33627,0.33,,0.067,0.0006,,,-0.087,-0.00062,,
Kepler-10,3,Kepler-10 c,Transit,0,0.91,45.294301,0.136,12.07050821,0.021,4.8e-05,0.05,2.588646951,-0.021,-4.8e-05,-0.05,-2.588646951
HIP 41378,6,HIP 41378 e,Transit,0,1.16,369.0,,,0.04,10.0,,,-0.04,-10.0,,
HD 110067,6,HD 110067 b,Transit,0,0.798,9.113678,,,0.042,1e-05,,,-0.042,-1e-05,,
Kepler-445,3,Kepler-445 d,Transit,0,0.18,8.15275,0.0,,0.04,0.0004,,,-0.04,-0.0004,,
Kepler-445,3,Kepler-445 c,Transit,0,0.18,4.871229,0.0,,0.04,1.1e-05,,,-0.04,-1.1e-05,,
TOI-2141,3,TOI-2141 d,Radial Velocity,0,0.896,60.45,,14.9,0.059,0.24,,2.1,-0.051,-0.25,,-2.1
HD 158259,5,HD 158259 c,Radial Velocity,0,1.08,3.432,,5.6,0.1,0.0003,,0.6,-0.1,-0.00016,,-0.59
HR 858,3,HR 858 b,Transit,0,1.204,3.585287,0.0,,0.052,9e-06,,,-0.052,-1.2e-05,,
Kepler-445,3,Kepler-445 b,Transit,0,0.18,2.984151,0.0,,0.04,1.1e-05,,,-0.04,-1.1e-05,,
Kepler-446,3,Kepler-446 d,Transit,0,0.22,5.148921,0.0,,0.05,2.2e-05,,,-0.05,-2.2e-05,,
K2-133,4,K2-133 c,Transit,0,0.461,4.86784,,,0.011,0.00012,,,-0.011,-0.00012,,
HIP 41378,6,HIP 41378 f,Transit,0,1.16,542.07975,,,0.04,0.00014,,,-0.04,-0.00014,,
TOI-1136,6,TOI-1136 e,Transit,0,1.022,18.801,0.0425,,0.027,0.001,0.004,,-0.027,-0.001,-0.004,
TOI-431,3,TOI-431 d,Transit,0,0.78,12.46103,0.0,,0.07,2e-05,,,-0.07,-2e-05,,
K2-138,6,K2-138 b,Transit,0,0.935,2.35309,0.048,,0.019,0.00022,0.054,,-0.023,-0.00022,-0.033,
Kepler-431,3,Kepler-431 d,Transit,0,1.071,11.922,0.0,,0.059,,,,-0.037,,,
Kepler-431,3,Kepler-431 c,Transit,0,1.071,8.703,0.0,,0.059,,,,-0.037,,,
Kepler-444,5,Kepler-444 b,Transit,0,0.758,3.6001053,0.16,,0.043,8.3e-06,0.21,,-0.043,-8e-06,-0.1,
Kepler-444,5,Kepler-444 c,Transit,0,0.758,4.5458841,0.31,,0.043,7e-06,0.12,,-0.043,-7.1e-06,-0.15,
TOI-4010,4,TOI-4010 d,Transit,0,0.88,14.70886,0.07,,0.03,3e-05,0.03,,-0.03,-3e-05,-0.03,
HD 40307,5,HD 40307 d,Radial Velocity,0,0.77,20.432,0.07,9.5,0.05,0.022,0.11,1.7,-0.05,-0.024,-0.07,-1.5
Kepler-25,3,Kepler-25 d,Radial Velocity,0,1.165,122.4,0.13,71.82958,0.027,0.8,0.13,9.85273,-0.029,-0.71,-0.09,-9.85273
HD 40307,5,HD 40307 f,Radial Velocity,0,0.77,51.76,0.02,5.2,0.05,0.5,0.2,1.5,-0.05,-0.46,-0.02,-1.6
Kepler-444,5,Kepler-444 e,Transit,0,0.758,7.743493,0.1,,0.043,1.7e-05,0.2,,-0.043,-1.6e-05,-0.07,
Kepler-444,5,Kepler-444 d,Transit,0,0.758,6.189392,0.18,,0.043,1.2e-05,0.16,,-0.043,-1.2e-05,-0.12,
Kepler-444,5,Kepler-444 f,Transit,0,0.758,9.740486,0.29,,0.043,1.3e-05,0.2,,-0.043,-1.3e-05,-0.19,
HIP 41378,6,HIP 41378 b,Transit,0,1.16,15.57208,,,0.04,2e-05,,,-0.04,-2e-05,,
K2-133,4,K2-133 d,Transit,0,0.461,11.02454,,,0.011,0.00036,,,-0.011,-0.00035,,
K2-165,3,K2-165 b,Transit,0,0.834847,2.354992,,,0.030908,0.000246,,,-0.030246,-0.000261,,
Kepler-37,4,Kepler-37 d,Transit,0,0.79,39.7922622,0.1,,0.033,6.5e-06,,,-0.03,-6.5e-06,,
Kepler-104,3,Kepler-104 b,Transit,0,0.818,11.427548,0.0,9.945429807,0.013,1.5e-05,,2.816832222,-0.008,-1.5e-05,,-2.816832222
Kepler-20,6,Kepler-20 e,Transit,0,0.929,6.0984882,0.092,,0.053,9.9e-06,,,-0.053,-9.9e-06,,
TOI-1136,6,TOI-1136 f,Transit,0,1.022,26.321,0.001,,0.027,0.001,0.001,,-0.027,-0.001,-0.001,
Kepler-1130,3,Kepler-1130 b,Transit,0,0.9,5.45298175,0.0,,0.018,1.294e-05,,,-0.024,-1.294e-05,,
WASP-132,3,WASP-132 c,Transit,0,0.789,1.01153624,0.0,,0.039,9.3e-07,,,-0.039,-8.6e-07,,
HD 181433,3,HD 181433 b,Radial Velocity,0,0.86,9.3745,0.396,7.22,0.06,0.00025,0.015,0.44,-0.06,-0.00038,-0.024,-0.45
DMPP-1,4,DMPP-1 e,Radial Velocity,0,1.21,5.516,0.07,4.13,0.03,0.002,,0.66,-0.03,-0.004,,-1.14
HD 28471,3,HD 28471 b,Radial Velocity,0,0.98,3.1649,0.195,3.72,0.044,0.0002,0.061,0.4,-0.044,-0.0003,-0.073,-0.43
WASP-132,3,WASP-132 b,Transit,0,0.789,7.1335164,0.0163,,0.039,1.9e-06,0.0067,,-0.039,-1.9e-06,-0.0069,
Kepler-60,3,Kepler-60 c,Transit,0,1.041,8.9187,0.039,,0.077,0.0002,0.002,,-0.077,-0.0002,-0.0027,
GJ 9827,3,GJ 9827 d,Transit,0,0.62,6.20183,0.0,5.2,0.04,3e-06,,1.8,-0.04,-3e-06,,-1.2
K2-32,4,K2-32 e,Transit,0,0.83,4.34934,0.043,,0.02,0.00039,0.048,,-0.02,-0.00039,-0.03,
Kepler-411,4,Kepler-411 b,Transit,0,0.87,3.005156,0.146,,0.039,2e-06,0.005,,-0.039,-2e-06,-0.004,
Kepler-402,4,Kepler-402 d,Transit,0,1.072,8.921099,0.0,,0.036,5.6e-05,,,-0.029,-5.6e-05,,
AU Mic,4,AU Mic c,Transit,0,0.635,18.859023,0.18,,0.04,2.2e-05,0.08,,-0.07,-2.4e-05,-0.07,
AU Mic,4,AU Mic b,Transit,0,0.635,8.463446,0.07,57.2094,0.04,5e-06,0.09,,-0.07,-5e-06,-0.04,
Kepler-150,5,Kepler-150 b,Transit,0,0.956,3.428054,0.0,,0.018,2.6e-05,,,-0.021,-2.6e-05,,
Kepler-129,3,Kepler-129 b,Transit,0,1.178,15.79,0.01,20.0,0.021,,0.24,,-0.03,,-0.01,
TOI-125,3,TOI-125 b,Transit,0,0.859,4.65382,0.194,,0.044,0.00033,0.041,,-0.038,-0.00031,-0.036,
TOI-125,3,TOI-125 c,Transit,0,0.859,9.15059,0.066,,0.044,0.0007,0.07,,-0.038,-0.00082,-0.047,
TOI-125,3,TOI-125 d,Transit,0,0.859,19.98,0.168,,0.044,0.005,0.088,,-0.038,-0.0056,-0.062,
TOI-663,3,TOI-663 b,Transit,0,0.514,2.598902,,,0.012,3.2e-06,,,-0.012,-3e-06,,
Kepler-1321,3,Kepler-1321 b,Transit,0,0.54,11.12830484,0.0,,0.072,2.043e-05,,,-0.036,-2.043e-05,,
HD 10180,6,HD 10180 h,Radial Velocity,0,1.06,2205.0,0.095,65.663678,0.05,105.9,0.086,4.417837,-0.05,-105.9,-0.086,-4.417837
HD 7924,3,HD 7924 b,Radial Velocity,0,0.65,5.39792,0.06,6.3566,0.05,0.00025,0.05,0.0,-0.05,-0.00025,-0.05,0.0
HIP 57274,3,HIP 57274 d,Radial Velocity,0,0.73,431.7,0.27,167.4,0.05,8.5,0.05,8.0,-0.05,-8.5,-0.05,-8.0
HD 215152,4,HD 215152 e,Radial Velocity,0,0.77,25.1967,0.0,2.877,0.015,0.0476,,1.063,-0.015,-0.0505,,-1.481
TOI-1136,6,TOI-1136 g,Transit,0,1.022,39.545,0.04,,0.027,0.002,0.01,,-0.027,-0.002,-0.01,
V1298 Tau,4,V1298 Tau e,Transit,0,1.1,48.677714,0.0124,,0.05,5.3e-05,,,-0.05,-5.3e-05,,
V1298 Tau,4,V1298 Tau c,Transit,0,1.1,8.249164,0.0094,,0.05,3e-06,,,-0.05,-3e-06,,
Kepler-224,4,Kepler-224 c,Transit,0,0.777,5.925003,0.0,,0.02,1e-05,,,-0.022,-1e-05,,
TOI-1749,3,TOI-1749 c,Transit,0,0.58,4.4929,0.019,,0.03,0.0038,,,-0.03,-0.0027,,
TOI-431,3,TOI-431 b,Transit,0,0.78,0.490047,0.0,,0.07,1e-05,,,-0.07,-7e-06,,
Kepler-1987,4,Kepler-1987 c,Transit,0,0.799,3.64830183,0.0,,0.041,1.621e-05,,,-0.081,-1.621e-05,,
HR 858,3,HR 858 d,Transit,0,1.204,11.230511,0.0,,0.052,4.3e-05,,,-0.052,-4.5e-05,,
Kepler-102,5,Kepler-102 c,Transit,0,0.803,7.071392,0.094,,0.021,2.2e-05,,,-0.021,-2.2e-05,,
Kepler-238,5,Kepler-238 b,Transit,0,1.229,2.090876,0.0,,0.035,2e-05,,,-0.062,-2e-05,,
TOI-700,4,TOI-700 c,Transit,0,0.415,16.051137,0.068,,0.021,2e-05,0.07,,-0.02,-2e-05,-0.049,
Kepler-1542,4,Kepler-1542 d,Transit,0,0.94,5.99273738,0.0,,0.032,2.26e-05,,,-0.031,-2.26e-05,,
TOI-1203,4,TOI-1203 e,Radial Velocity,0,0.886,204.59,0.152,42.1,0.036,0.67,0.029,1.83,-0.036,-0.63,-0.029,-1.78
K2-239,3,K2-239 d,Transit,0,0.4,10.115,,,0.01,0.001,,,-0.01,-0.001,,
TRAPPIST-1,7,TRAPPIST-1 b,Transit,0,0.0898,1.510826,0.00622,,0.0023,6e-06,0.00304,,-0.0023,-6e-06,-0.00304,
TRAPPIST-1,7,TRAPPIST-1 c,Transit,0,0.0898,2.421937,0.00654,,0.0023,1.8e-05,0.00188,,-0.0023,-1.8e-05,-0.00188,
TRAPPIST-1,7,TRAPPIST-1 d,Transit,0,0.0898,4.049219,0.00837,,0.0023,2.6e-05,0.00093,,-0.0023,-2.6e-05,-0.00093,
TRAPPIST-1,7,TRAPPIST-1 e,Transit,0,0.0898,6.101013,0.0051,,0.0023,3.5e-05,0.00058,,-0.0023,-3.5e-05,-0.00058,
TRAPPIST-1,7,TRAPPIST-1 f,Transit,0,0.0898,9.20754,0.01007,,0.0023,3.2e-05,0.00068,,-0.0023,-3.2e-05,-0.00068,
TRAPPIST-1,7,TRAPPIST-1 g,Transit,0,0.0898,12.352446,0.00208,,0.0023,5.4e-05,0.00058,,-0.0023,-5.4e-05,-0.00058,
TRAPPIST-1,7,TRAPPIST-1 h,Transit,0,0.0898,18.772866,0.00567,,0.0023,0.000214,0.00121,,-0.0023,-0.000214,-0.00121,
TOI-469,3,HIP 29442 c,Radial Velocity,0,0.901,3.5379559,,,0.043,8.2e-06,,,-0.043,-8.2e-06,,
K2-136,3,K2-136 b,Transit,0,0.742,7.9752,0.14,,0.039,0.00079,0.12,,-0.038,-0.00079,-0.11,
Kepler-80,6,Kepler-80 f,Transit,0,0.73,0.9867873,0.186,,0.03,6e-08,0.083,,-0.03,-6e-08,-0.049,
HD 191939,6,HD 191939 f,Radial Velocity,0,0.81,2898.0,0.0,915.34581216,0.04,152.0,,82.63538582,-0.04,-152.0,,-82.63538582
TOI-1136,6,TOI-1136 d,Transit,0,1.022,12.5199,0.042,,0.027,0.0004,0.004,,-0.027,-0.0004,-0.004,
TOI-500,4,TOI-500 e,Radial Velocity,0,0.74,61.3,0.073,15.05,0.017,0.28,0.068,1.12,-0.017,-0.28,-0.051,-1.11
Kepler-130,3,Kepler-130 b,Transit,0,0.927,8.457458,0.15,,0.0265,3.9e-05,0.14,,-0.0265,-3.9e-05,-0.15,
WASP-47,4,WASP-47 e,Transit,0,1.058,0.78961,0.0,,0.047,3e-05,,,-0.047,-3e-05,,
TOI-500,4,TOI-500 d,Radial Velocity,0,0.74,26.233,0.016,33.12,0.017,0.02,0.017,0.88,-0.017,-0.02,-0.011,-0.88
Kepler-347,3,Kepler-347 b,Transit,0,0.922,12.79836,0.0,,0.022,0.000106,,,-0.021,-0.000106,,
HD 110067,6,HD 110067 d,Transit,0,0.798,20.519617,,,0.042,4e-05,,,-0.042,-4e-05,,
Kepler-68,4,Kepler-68 e,Radial Velocity,0,1.057,3455.0,0.33,86.449326704,0.022,348.0,0.11,10.170509024,-0.02,-169.0,-0.11,-10.170509024
CoRoT-7,3,CoRoT-7 b,Transit,0,0.82,0.85359163,0.0,,0.17,6e-09,,,-0.17,-6e-09,,
HD 34445,6,HD 34445 f,Radial Velocity,0,1.07,676.8,0.031,37.9,0.02,7.9,0.057,6.5,-0.02,-7.9,-0.031,-6.5
TOI-1260,3,TOI-1260 b,Transit,0,0.679,3.127463,0.0,,0.095,5e-06,,,-0.057,-5e-06,,
Kepler-399,3,Kepler-399 c,Transit,0,0.902,26.67569,0.0,,0.065,0.000171,,,-0.033,-0.000171,,
TOI-431,3,TOI-431 c,Radial Velocity,0,0.78,4.8494,0.0,2.83,0.07,0.0003,,0.41,-0.07,-0.0002,,-0.34
TOI-451,3,TOI-451 c,Transit,0,0.93,9.192463,0.0,,0.04,1.7e-05,,,-0.04,-1.7e-05,,
TOI-451,3,TOI-451 d,Transit,0,0.93,16.364962,0.0,,0.04,1.5e-05,,,-0.04,-1.5e-05,,
HD 63433,3,HD 63433 d,Transit,0,0.99,4.209075,0.16,,0.03,1.2e-05,0.36,,-0.03,-2.3e-05,-0.12,
Kepler-289,4,Kepler-289 b,Transit,0,1.08,34.5383,0.0,,0.02,0.0006,,,-0.02,-0.0006,,
KOI-94,4,KOI-94 c,Transit,0,1.277,10.423648,0.43,6.204259261,0.05,1.6e-05,0.23,5.589254716,-0.05,-1.6e-05,-0.23,-5.589254716
XO-2 S,3,XO-2 S b,Radial Velocity,0,0.98,18.157,0.18,82.6358,0.2,0.034,0.04,12.7132,-0.2,-0.034,-0.04,-12.7132
Barnard's star,4,Barnard e,Radial Velocity,0,0.162,6.7392,0.04,0.193,0.007,0.003,0.03,0.033,-0.007,-0.003,-0.04,-0.033
Kepler-385,3,Kepler-385 b,Transit,0,0.992,10.043686,0.0,,0.034,0.000128,,,-0.032,-0.000128,,
Kepler-20,6,Kepler-20 g,Radial Velocity,0,0.948,34.94,0.15,19.96,0.051,0.038,0.01,3.08,-0.051,-0.035,-0.1,-3.61
Kepler-332,3,Kepler-332 b,Transit,0,0.743,7.626324,0.0,,0.014,2.8e-05,,,-0.025,-2.8e-05,,
Kepler-1987,4,Kepler-1987 d,Transit,0,0.799,5.644914154,0.0,,0.041,8.778e-06,,,-0.081,-8.778e-06,,
Kepler-306,4,Kepler-306 d,Transit,0,0.75,17.326644,0.0,,0.024,0.000137,,,-0.018,-0.000137,,
Kepler-79,4,Kepler-79 d,Transit,0,1.165,52.0902,0.025,,0.044,0.0009,0.059,,-0.045,-0.001,-0.023,
Kepler-24,4,Kepler-24 d,Transit,0,1.046,4.244384,0.0,,0.035,5.3e-05,,,-0.034,-5.3e-05,,
Kepler-83,3,Kepler-83 d,Transit,0,0.58,5.169796,0.0,,0.029,1.6e-05,,,-0.031,-1.6e-05,,
HD 141399,4,HD 141399 d,Radial Velocity,0,1.07,1069.8,0.074,375.0394,0.08,6.7,0.025,25.4264,-0.08,-6.7,-0.025,-25.4264
Kepler-54,3,Kepler-54 d,Transit,0,0.518,20.995694,0.0,,0.013,0.000143,,,-0.013,-0.000143,,
YZ Cet,3,YZ Cet d,Radial Velocity,0,0.142,4.65626,0.07,1.09,0.01,0.00028,0.04,0.12,-0.01,-0.00029,-0.05,-0.12
HD 125612,3,HD 125612 b,Radial Velocity,0,1.05,557.69994,0.446,945.221682418,0.131,0.68131,0.011,77.867959715,-0.131,-0.69344,-0.011,-81.999729006
Kepler-968,3,Kepler-968 c,Transit,0,0.76,5.709404918,0.0,,0.026,9.542e-06,,,-0.04,-9.542e-06,,
HD 133131 A,3,HD 133131 A c,Radial Velocity,0,0.95,3568.0,0.49,133.4886,,1084.0,0.22,47.6745,,-1084.0,-0.22,-47.6745
TOI-2141,3,TOI-2141 b,Transit,0,0.896,18.261608,0.21,20.1,0.059,1.9e-05,,1.6,-0.051,-2e-05,,-1.5
