hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-450,3,Kepler-450 c,Transit,0,1.19,15.413135,0.02,,0.197747,8.5e-05,0.17,,-0.142064,-8.5e-05,-0.02,
Kepler-81,3,Kepler-81 c,Transit,0,0.64,12.04,0.0,,0.38,,,,-0.23,,,
Kepler-92,3,Kepler-92 b,Transit,0,1.21,13.749,0.17,19.35002566,0.08,,0.1,8.372749005,-0.08,,-0.17,-8.372749005
Kepler-288,3,Kepler-288 c,Transit,0,0.842,19.305772,0.0,,0.022,0.000135,,,-0.015,-0.000135,,
Kepler-295,3,Kepler-295 b,Transit,0,0.89,12.645164,0.0,,0.037,0.000181,,,-0.044,-0.000181,,
Kepler-178,3,Kepler-178 d,Transit,0,0.852,96.678988,0.0,,0.03,0.000702,,,-0.026,-0.000702,,
Kepler-450,3,Kepler-450 d,Transit,0,1.19,7.51464,0.14,,0.197747,0.00023,0.24,,-0.142064,-0.00023,-0.14,
Kepler-350,3,Kepler-350 d,Transit,0,1.0,26.136,0.0,,0.2,,,,-0.12,,,
Kepler-238,5,Kepler-238 f,Transit,0,1.06,50.447,0.0,,0.17,,,,-0.12,,,
Kepler-341,4,Kepler-341 c,Transit,0,0.976,8.01041,0.0,,0.03,4.9e-05,,,-0.029,-4.9e-05,,
Kepler-56,3,Kepler-56 c,Transit,0,1.32,21.40239,0.0,235.5846474,0.13,0.00059,0.01,8.781297349,-0.13,-0.00062,-0.01,-8.781297349
Kepler-56,3,Kepler-56 b,Transit,0,1.32,10.5016,0.04,30.0,0.13,0.0011,0.01,6.2,-0.13,-0.001,-0.01,-6.2
Kepler-148,3,Kepler-148 c,Transit,0,0.86,4.180043,0.0,,0.038,4e-06,,,-0.044,-4e-06,,
Kepler-226,3,Kepler-226 b,Transit,0,0.904,3.940997,0.0,,0.029,2e-05,,,-0.03,-2e-05,,
Kepler-197,4,Kepler-197 d,Transit,0,0.857,15.677563,0.03,,0.023,9.6e-05,0.2,,-0.019,-9.6e-05,-0.03,
Kepler-306,4,Kepler-306 c,Transit,0,0.75,7.240193,0.0,,0.024,3.2e-05,,,-0.018,-3.2e-05,,
KOI-351,8,KOI-351 e,Transit,0,1.2,91.93913,0.0,,0.1,0.00073,,,-0.1,-0.00073,,
KOI-351,8,KOI-351 c,Transit,0,1.2,8.719375,0.0,,0.1,2.7e-05,,,-0.1,-2.7e-05,,
Kepler-222,3,Kepler-222 c,Transit,0,0.933,10.08881,0.0,,0.019,1.1e-05,,,-0.011,-1.1e-05,,
Kepler-184,3,Kepler-184 d,Transit,0,0.872,29.022358,0.0,,0.024,0.000176,,,-0.028,-0.000176,,
Kepler-11,6,Kepler-11 f,Transit,0,0.961,46.6888,0.013,18.46561699,0.025,0.0027,0.011,12.09651146,-0.025,-0.0032,-0.009,-12.09651146
Kepler-11,6,Kepler-11 e,Transit,0,0.961,31.9996,0.012,7.949322347,0.025,0.0008,0.006,9.680697103,-0.025,-0.0012,-0.006,-9.680697103
Kepler-11,6,Kepler-11 g,Transit,0,0.961,118.3807,0.15,8.826029908,0.025,0.001,,9.039947904,-0.025,-0.0006,,-9.039947904
Kepler-166,3,Kepler-166 c,Transit,0,0.811,34.260281,0.0,,0.025,0.000124,,,-0.03,-0.000124,,
Kepler-275,3,Kepler-275 b,Transit,0,1.189,10.300682,0.0,,0.036,0.000254,,,-0.037,-0.000254,,
Kepler-11,6,Kepler-11 c,Transit,0,0.961,13.0241,0.026,11.14626911,0.025,0.0013,0.063,7.746038318,-0.025,-0.0008,-0.013,-7.746038318
Kepler-279,4,Kepler-279 b,Transit,0,1.2,12.309681,0.0,,0.1,5.1e-05,,,-0.1,-5.1e-05,,
Kepler-286,4,Kepler-286 c,Transit,0,0.83,3.468095,0.0,,0.031,2.3e-05,,,-0.029,-2.3e-05,,
GJ 667 C,5,GJ 667 C c,Radial Velocity,0,0.33,28.14,0.02,3.8,0.02,0.053,0.15,1.5,-0.02,-0.065,-0.02,-1.2
HIP 57274,3,HIP 57274 c,Radial Velocity,0,0.73,32.03,0.05,130.0,0.05,0.02,0.02,3.0,-0.05,-0.02,-0.02,-3.0
Kepler-292,5,Kepler-292 d,Transit,0,0.865,7.055679,0.0,,0.021,4.3e-05,,,-0.029,-4.3e-05,,
GJ 667 C,5,GJ 667 C f,Radial Velocity,1,0.33,39.026,0.03,2.7,0.02,0.194,0.16,1.4,-0.02,-0.211,-0.03,-1.2
Kepler-297,3,Kepler-297 c,Transit,0,0.927,74.920137,0.0,,0.025,0.00012,,,-0.034,-0.00012,,
Kepler-282,4,Kepler-282 d,Transit,0,0.97,24.806,0.0,,0.1,,,,-0.12,,,
Kepler-158,3,Kepler-158 b,Transit,0,0.655,16.709184,0.0,,0.015,6.4e-05,,,-0.015,-6.4e-05,,
Kepler-306,4,Kepler-306 b,Transit,0,0.75,4.646186,0.0,,0.024,2.5e-05,,,-0.018,-2.5e-05,,
Kepler-267,3,Kepler-267 d,Transit,0,0.541571,28.464515,0.0,,0.020592,0.00018,,,-0.020592,-0.00018,,
Kepler-276,3,Kepler-276 c,Transit,0,1.1,31.884,0.0,,0.22,,,,-0.14,,,
Kepler-305,4,Kepler-305 b,Transit,0,0.76,5.487,0.005,,0.13,,0.0035,,-0.06,,-0.0034,
Kepler-338,4,Kepler-338 d,Transit,0,1.105,44.431014,0.03,,0.026,0.000368,0.22,,-0.021,-0.000368,-0.03,
Kepler-126,3,Kepler-126 d,Transit,0,1.108,100.283134,0.02,54.59018723,0.029,0.000255,0.09,23.11478081,-0.029,-0.000255,-0.02,-23.11478081
Kepler-381,3,Kepler-381 c,Transit,0,1.144,13.391635,0.0,,0.032,0.000129,,,-0.033,-0.000129,,
Kepler-249,3,Kepler-249 d,Transit,0,0.510238,15.368459,0.0,,0.020399,7e-05,,,-0.020399,-7e-05,,
Kepler-254,3,Kepler-254 d,Transit,0,0.849,18.746477,0.0,,0.034,0.000121,,,-0.027,-0.000121,,
Kepler-363,3,Kepler-363 d,Transit,0,1.226,11.932125,0.0,,0.031,9.3e-05,,,-0.075,-9.3e-05,,
Kepler-142,3,Kepler-142 d,Transit,0,0.978,41.809118,0.0,,0.035,0.000562,,,-0.031,-0.000562,,
Kepler-286,4,Kepler-286 d,Transit,0,0.83,5.914323,0.0,,0.031,5.4e-05,,,-0.029,-5.4e-05,,
HD 176986,3,HD 176986 d,Radial Velocity,0,0.789,61.376,,6.76,0.019,0.051,,0.91,-0.019,-0.049,,-0.92
Kepler-354,3,Kepler-354 b,Transit,0,0.652,5.47666,0.0,,0.016,2.4e-05,,,-0.016,-2.4e-05,,
Kepler-104,3,Kepler-104 c,Transit,0,0.818,23.668205,0.0,7.144308046,0.013,5.6e-05,,3.893552245,-0.008,-5.6e-05,,-3.893552245
Kepler-132,4,Kepler-132 d,Transit,0,0.929,18.010199,0.0,,0.035,6.7e-05,,,-0.033,-6.7e-05,,
Kepler-208,4,Kepler-208 c,Transit,0,1.082,7.466623,0.0,,0.03,6.7e-05,,,-0.03,-6.7e-05,,
Kepler-487,3,Kepler-487 c,Transit,0,0.91,38.6519976,0.0,,0.036,0.0002517,,,-0.041,-0.0002517,,
Kepler-372,3,Kepler-372 c,Transit,0,1.202,20.053763,0.0,,0.0082,0.00019,,,-0.0082,-0.00019,,
HD 176986,3,HD 176986 c,Radial Velocity,0,0.789,16.8124,0.111,9.75,0.019,0.0015,0.08,0.65,-0.019,-0.0015,-0.08,-0.64
Kepler-215,4,Kepler-215 c,Transit,0,0.788,14.667108,0.0,,0.018,8.9e-05,,,-0.012,-8.9e-05,,
HD 3167,4,HD 3167 d,Radial Velocity,0,0.837,8.4112,0.12,4.33,0.053,0.0052,,0.45,-0.043,-0.0052,,-0.45
Kepler-319,3,Kepler-319 c,Transit,0,0.933,6.941357,0.0,,0.012,7e-06,,,-0.016,-7e-06,,
Kepler-224,4,Kepler-224 e,Transit,0,0.777,18.643577,0.0,,0.02,8.7e-05,,,-0.022,-8.7e-05,,
Kepler-226,3,Kepler-226 d,Transit,0,0.904,8.109044,0.0,,0.029,9.4e-05,,,-0.03,-9.4e-05,,
Kepler-338,4,Kepler-338 b,Transit,0,1.105,13.726976,0.04,,0.026,5.9e-05,0.27,,-0.021,-5.9e-05,-0.04,
Kepler-351,3,Kepler-351 c,Transit,0,0.81,57.24809,0.0,,0.047,0.000599,,,-0.063,-0.000599,,
Kepler-327,3,Kepler-327 b,Transit,0,0.591913,2.549575,0.0,,0.020356,6e-06,,,-0.020356,-6e-06,,
Kepler-114,3,Kepler-114 b,Transit,0,0.77,5.188549,0.0,,0.02,1.2e-05,,,-0.022,-1.2e-05,,
Kepler-169,5,Kepler-169 c,Transit,0,0.825,6.195469,0.0,,0.007,2.9e-05,,,-0.013,-2.9e-05,,
Kepler-359,3,Kepler-359 c,Transit,0,0.827,57.68802,0.0,,0.03,0.000545,,,-0.029,-0.000545,,
Kepler-244,3,Kepler-244 d,Transit,0,0.933,20.050401,0.0,,0.021,0.00013,,,-0.026,-0.00013,,
Kepler-254,3,Kepler-254 c,Transit,0,0.849,12.412183,0.0,,0.034,8.2e-05,,,-0.027,-8.2e-05,,
Kepler-49,4,Kepler-49 e,Transit,0,0.549,18.596108,0.0,,0.009,7.9e-05,,,-0.009,-7.9e-05,,
Kepler-122,5,Kepler-122 d,Transit,0,0.982,21.587475,0.0,,0.028,0.000164,,,-0.029,-0.000164,,
HD 27894,3,HD 27894 c,Radial Velocity,0,0.8,36.07,0.015,51.48846,,0.26,0.02,3.49613,,-0.09,-0.002,-12.7132
Kepler-171,3,Kepler-171 c,Transit,0,0.978,11.463462,0.0,,0.029,2.6e-05,,,-0.031,-2.6e-05,,
Kepler-281,3,Kepler-281 b,Transit,0,0.95,14.646008,0.0,,0.058,0.000139,,,-0.057,-0.000139,,
Kepler-288,3,Kepler-288 b,Transit,0,0.842,6.097326,0.0,,0.022,6.4e-05,,,-0.015,-6.4e-05,,
Kepler-394,3,Kepler-394 b,Transit,0,0.87,8.005013,0.0,,0.03,9e-05,,,-0.027,-9e-05,,
Kepler-148,3,Kepler-148 b,Transit,0,0.86,1.729366,0.0,,0.038,4e-06,,,-0.044,-4e-06,,
Kepler-178,3,Kepler-178 c,Transit,0,0.852,20.552802,0.0,,0.03,6.6e-05,,,-0.026,-6.6e-05,,
Kepler-342,4,Kepler-342 b,Transit,0,1.213,15.170318,0.0,,0.031,5.9e-05,,,-0.018,-5.9e-05,,
Kepler-334,3,Kepler-334 c,Transit,0,1.022,12.758005,0.0,,0.0235,5.5e-05,,,-0.0235,-5.5e-05,,
Kepler-298,3,Kepler-298 c,Transit,0,0.66,22.92881,0.0,,0.015,0.00038,,,-0.015,-0.00038,,
Kepler-191,3,Kepler-191 c,Transit,0,0.857,17.738506,0.0,,0.015,8.2e-05,,,-0.014,-8.2e-05,,
HD 10180,6,HD 10180 f,Radial Velocity,0,1.06,122.744,0.119,22.947326,0.05,0.232,0.054,1.493801,-0.05,-0.232,-0.054,-1.493801
Kepler-207,3,Kepler-207 c,Transit,0,1.313,3.071571,0.0,,0.025,1.6e-05,,,-0.028,-1.6e-05,,
Kepler-224,4,Kepler-224 b,Transit,0,0.777,3.132924,0.0,,0.02,1.4e-05,,,-0.022,-1.4e-05,,
Kepler-299,4,Kepler-299 d,Transit,0,1.004,15.054786,0.0,,0.032,0.000189,,,-0.035,-0.000189,,
